"كود المعلم",الجنس,"سنوات الخبرة","الدرجة التعليمية",التخصص,"استخدام التقنية","معرفة التحويل","فعالية الوسائل البصرية","فئة السؤال","نص السؤال",الإجابة
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,challenges,"هل تواجه صعوبات تقنية في استخدام هذه الأدوات؟",نعم
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,challenges,"هل يحتاج تطبيق هذه التقنية إلى وقت تحضير أطول للمدرس؟",نعم
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,challenges,"هل تتطلب هذه الطريقة توفر بنية تحتية تكنولوجية قد لا تكون متاحة في مدرستك؟",نعم
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,challenges,"هل هناك مقاومة من الطلاب أو أولياء الأمور للتعلم باستخدام الوسائط الرقمية؟",لا
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,concerns,"قد تؤدي الاعتماد على الصور المتحركة إلى إضعاف خيال الطلاب وقدرتهم على التصور الذهني للنصوص",موافق
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,concerns,"قد يصبح التركيز على العنصر الترفيهي للصور المتحركة على حساب التعمق في التحليل النصي",محايد
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,concerns,"قد لا تناسب هذه التقنية الطلاب ذوي أنماط التعلم السمعي أو اللفظي بنفس الفعالية",محايد
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,concerns,"قد تكون التفسيرات البصرية المقدمة عبر الصور المتحركة مبسطة أو أحادية، مما يحد من تعدد القراءات للنص",موافق
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,concerns,"قد تؤدي إلى تنميط صور الشخصيات أو الأحداث، خاصة في النصوص الأدبية المفتوحة للتأويل",موافق
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,concerns,"قد يقلل استخدامها من وقت ممارسة المهارات القرائية الأساسية والتحليل النصي الكتابي",موافق
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,positive,"تحويل النصوص إلى صور متحركة يجذب انتباه الطلاب ويزيد من دافعيتهم للقراءة",موافق
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,positive,"الوسائل المرئية المتحركة تساعد الطلاب على تخيل الأحداث والشخصيات بشكل أوضح",موافق
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,positive,"هذه التقنية تناسب بشكل خاص الطلاب ذوي أنماط التعلم البصري والحركي","غير موافق"
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,positive,"الصور المتحركة تسهل فهم التسلسل الزمني للأحداث في النصوص السردية","موافق بشدة"
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,positive,"تظهر التحسينات بشكل أكبر في فهم النصوص المعقدة أو المجردة",موافق
TCH001,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,متوسط,جيد,positive,"هناك تحسن ملحوظ في قدرة الطلاب على تحليل النص واستخراج الأفكار الرئيسية",موافق
TCH002,ذكر,"بين 5-10 سنوات","درجة 1","اللغة العربية, العلوم والتكنولوجيا",جيد,جيد,جيد,,,
TCH003,أنثى,"أكثر من 10 سنوات","درجة 2","العلوم والتكنولوجيا",ضعيف,"ضعيف جداً",ممتاز,,,
TCH004,أنثى,"أكثر من 10 سنوات","درجة 3","اللغة العربية",متوسط,ضعيف,ضعيف,,,
TCH005,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية",متوسط,"ضعيف جداً",متوسط,,,
TCH006,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية, العلوم والتكنولوجيا",متوسط,ضعيف,متوسط,,,
TCH007,أنثى,"بين 5-10 سنوات","درجة 2","اللغة العربية",ضعيف,متوسط,متوسط,,,
TCH008,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية, العلوم والتكنولوجيا, التنشئة الاجتماعية",جيد,متوسط,جيد,,,
TCH009,أنثى,"أكثر من 10 سنوات","درجة 2","اللغات الأجنبية",جيد,ضعيف,ممتاز,,,
TCH010,أنثى,"أكثر من 10 سنوات","درجة 3","اللغة العربية, العلوم والتكنولوجيا, اللغات الأجنبية",متوسط,"ضعيف جداً",جيد,,,
TCH011,أنثى,"أقل من 5 سنوات","درجة 3","اللغات الأجنبية",متوسط,متوسط,جيد,,,
TCH012,أنثى,"أكثر من 10 سنوات","درجة 3","اللغة العربية, التنشئة الاجتماعية","ضعيف جداً","ضعيف جداً",متوسط,,,
TCH013,أنثى,"بين 5-10 سنوات","درجة 3","اللغة العربية, التنشئة الاجتماعية",ممتاز,"ضعيف جداً",ممتاز,,,
TCH014,أنثى,"بين 5-10 سنوات","درجة 2","العلوم والتكنولوجيا",جيد,ضعيف,متوسط,,,
TCH015,أنثى,"بين 5-10 سنوات","درجة 2","العلوم والتكنولوجيا, التنشئة الاجتماعية",متوسط,ضعيف,متوسط,,,
TCH016,أنثى,"بين 5-10 سنوات","درجة 2","اللغة العربية, العلوم والتكنولوجيا, اللغات الأجنبية",متوسط,ضعيف,متوسط,,,
TCH017,أنثى,"أكثر من 10 سنوات","درجة 3","اللغة العربية, اللغات الأجنبية",جيد,متوسط,متوسط,,,
TCH018,أنثى,"بين 5-10 سنوات","درجة 3","اللغة العربية, العلوم والتكنولوجيا, التنشئة الاجتماعية, اللغات الأجنبية",متوسط,متوسط,جيد,,,
TCH019,أنثى,"بين 5-10 سنوات","درجة 2","اللغات الأجنبية",متوسط,ضعيف,جيد,,,
TCH020,أنثى,"أقل من 5 سنوات","درجة 2","اللغات الأجنبية",متوسط,متوسط,جيد,,,
TCH021,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية, العلوم والتكنولوجيا, التنشئة الاجتماعية",جيد,متوسط,متوسط,,,
TCH022,أنثى,"أقل من 5 سنوات","درجة 1","اللغة العربية, العلوم والتكنولوجيا",جيد,ضعيف,ممتاز,,,
TCH023,أنثى,"بين 5-10 سنوات","درجة 2","العلوم والتكنولوجيا, اللغات الأجنبية","ضعيف جداً",ضعيف,متوسط,,,
TCH024,أنثى,"بين 5-10 سنوات","درجة 2","اللغة العربية, العلوم والتكنولوجيا",ضعيف,"ضعيف جداً",جيد,,,
TCH025,أنثى,"بين 5-10 سنوات","درجة 1","اللغة العربية, العلوم والتكنولوجيا, التنشئة الاجتماعية","ضعيف جداً",ضعيف,جيد,,,
TCH026,أنثى,"بين 5-10 سنوات","درجة 2","العلوم والتكنولوجيا","ضعيف جداً",متوسط,جيد,,,
TCH027,أنثى,"بين 5-10 سنوات","درجة 3","اللغات الأجنبية",متوسط,"ضعيف جداً",جيد,,,
TCH028,أنثى,"أكثر من 10 سنوات","درجة 3","العلوم والتكنولوجيا",متوسط,ضعيف,متوسط,,,
TCH029,أنثى,"أقل من 5 سنوات","درجة 3","اللغة العربية, التنشئة الاجتماعية",متوسط,"ضعيف جداً",جيد,,,
TCH030,أنثى,"بين 5-10 سنوات","درجة 2","اللغات الأجنبية",متوسط,"ضعيف جداً",جيد,,,
TCH031,أنثى,"أكثر من 10 سنوات","درجة 3","العلوم والتكنولوجيا",متوسط,ضعيف,جيد,,,
TCH032,أنثى,"بين 5-10 سنوات","درجة 3","العلوم والتكنولوجيا",متوسط,متوسط,ممتاز,,,
TCH033,أنثى,"بين 5-10 سنوات","درجة 2","اللغات الأجنبية",ضعيف,ضعيف,متوسط,,,
TCH034,أنثى,"بين 5-10 سنوات","درجة 1","العلوم والتكنولوجيا",ضعيف,"ضعيف جداً",جيد,,,
TCH035,ذكر,"بين 5-10 سنوات","درجة 3","اللغة العربية",متوسط,ضعيف,جيد,,,
TCH036,أنثى,"أقل من 5 سنوات","درجة 2","اللغة العربية",جيد,متوسط,ممتاز,,,
TCH037,أنثى,"بين 5-10 سنوات","درجة 3","اللغة العربية",متوسط,متوسط,جيد,,,
